"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"10565","Rajasthan","Street lights","WS/MP18285/2024-2025/176063","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","16-Mar-2025","HARI TARA ASSOCIATES","Payment Success","972000"
"10566","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10567","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","138000"
"10568","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","69000"
"10569","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10570","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10571","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10572","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10573","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10574","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10575","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10576","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10577","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10578","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10579","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10580","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10581","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10582","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10583","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10584","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10585","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10586","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10587","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10588","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10589","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","30-Dec-2025","HARI TARA ASSOCIATES","Payment Success","207000"
"10590","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","30-Dec-2025","HARI TARA ASSOCIATES","Payment Success","207000"
"10591","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","30-Dec-2025","HARI TARA ASSOCIATES","Payment Success","207000"
"10592","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","30-Dec-2025","HARI TARA ASSOCIATES","Payment Success","207000"
"10593","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10594","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10595","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10596","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10597","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10598","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10599","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10600","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10601","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10602","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10603","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","26-Aug-2025","HARI TARA ASSOCIATES","Payment Success","276000"
"10604","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Jul-2026","HARI TARA ASSOCIATES","Payment Success","69000"
"10605","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Jul-2026","HARI TARA ASSOCIATES","Payment Success","69000"
"10606","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Jul-2026","HARI TARA ASSOCIATES","Payment Success","69000"
"10607","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Jul-2026","HARI TARA ASSOCIATES","Payment Success","69000"
"10608","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10609","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10610","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10611","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10612","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10613","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10614","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10615","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10616","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10617","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10618","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10619","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10620","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10621","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10622","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10623","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10624","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/162408","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","03-Apr-2025","HARI TARA ASSOCIATES","Payment Success","207000"
"10625","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10626","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10627","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10628","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10629","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10630","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10631","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10632","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10633","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10634","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10635","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10636","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10637","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10638","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10639","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","414000"
"10640","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10641","Uttar Pradesh","Lighting of public spaces","WS/MP201/2024-2025/155278","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","11-Feb-2025","HARI TARA ASSOCIATES","Payment Success","828000"
"10642","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18316/2024-2025/166456","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","26-Jan-2025","Bhujpura","Payment Success","750000"
"10643","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP145/2024-2025/149167","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","20-Nov-2025","GRAM PANCHAYAT SUJABAS","Payment Success","239332"
"10644","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP145/2024-2025/149167","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","05-Jun-2025","GRAM PANCHAYAT SUJABAS","Payment Success","1500000"
"10645","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2024-2025/142921","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","21-Apr-2025","venkateswara labour contract co operative society","Payment Success","499588"
"10646","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2024-2025/142918","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","21-Apr-2025","venkateswara labour contract co operative society","Payment Success","498394"
"10647","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2024-2025/142916","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","21-Apr-2025","venkateswara labour contract co operative society","Payment Success","498357"
