"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1530","Tamil Nadu","Installing tube-wells and borewells","WS/MP751/2025-2026/206193","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","16-Dec-2025","V MURUGAN","Payment Success","298111"
"1531","Tamil Nadu","Construction of community centers and community halls","WS/MP751/2026-2027/236468","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","07-Jul-2026","V MURUGAN","Payment Success","998626"
"1532","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP751/2025-2026/206195","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","27-Feb-2026","VASANTH ANDISAMY","Payment Success","598810"
"1533","Tamil Nadu","Construction of community centers and community halls","WS/MP751/2025-2026/206185","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","08-Jul-2026","POOMPANDI P","Payment Success","725770"
"1534","Tamil Nadu","Construction of community centers and community halls","WS/MP751/2026-2027/210680","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","01-Jul-2026","PAZHANIVELRAJAN GNANASURIYAN","Payment Success","2265878"
"1535","Tamil Nadu","Construction of community centers and community halls","WS/MP751/2026-2027/236480","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","11-Aug-2026","SUBRAMANIAN","Payment Success","1499401"
"1536","Tamil Nadu","Construction of community centers and community halls","WS/MP751/2026-2027/206202","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","25-Jun-2026","PAZHANIVELRAJAN GNANASURIYAN","Payment Success","999862"
"1537","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP751/2024-2025/146656","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","05-Nov-2024","DRDA MADURAI","Payment Success","2500000"
"1538","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP746/2025-2026/177671","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Kani K Navas","RAMANATHAPURAM","12-Aug-2025","Pappathi","Payment Success","1000000"
"1539","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP746/2026-2027/232916","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Kani K Navas","RAMANATHAPURAM","31-Jul-2026","R R Constructions","Payment Success","1000000"
"1540","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP746/2026-2027/177670","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Kani K Navas","RAMANATHAPURAM","18-Jun-2026","SIVAKUMAR K","Payment Success","1120000"
"1541","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP746/2025-2026/177666","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Kani K Navas","RAMANATHAPURAM","09-Oct-2025","R R Constructions","Payment Success","2250000"
"1542","Tamil Nadu","Lighting of public spaces","WS/MP18182/2025-2026/229293","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","03-Mar-2026","Madasamy A","Payment Success","388212"
"1543","Tamil Nadu","Lighting of public spaces","WS/MP18182/2025-2026/229292","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","03-Mar-2026","Madasamy A","Payment Success","388212"
"1544","Tamil Nadu","Lighting of public spaces","WS/MP18182/2025-2026/229291","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","04-Mar-2026","Madasamy A","Payment Success","388212"
"1545","Tamil Nadu","Lighting of public spaces","WS/MP18182/2025-2026/229290","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","04-Mar-2026","Madasamy A","Payment Success","388212"
"1546","Tamil Nadu","Lighting of public spaces","WS/MP18182/2025-2026/229294","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","04-Mar-2026","Madasamy A","Payment Success","388212"
"1547","Tamil Nadu","Construction of community centers and community halls","WS/MP017/2026-2027/206109","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","14-May-2026","C N ARUMUGAM","Payment Success","614970"
"1548","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP017/2025-2026/156775","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","12-Feb-2026","C N ARUMUGAM","Payment Success","2300000"
"1549","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206234","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","26-Aug-2025","Karthick G","Payment Success","652437"
"1550","Tamil Nadu","Construction of public staircase/ stair ghat for public convenience","WS/MP393/2025-2026/186702","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","26-Aug-2025","G VIGNESHKANNA","Payment Success","498279"
"1551","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/190427","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","17-Oct-2025","PRADEEPA P","Payment Success","690422"
"1552","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206234","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","07-Oct-2025","Karthick G","Payment Success","295646"
"1553","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206233","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","26-Sep-2025","BANUMATHI RAMANATHAN","Payment Success","306305"
"1554","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206233","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","07-Nov-2025","BANUMATHI RAMANATHAN","Payment Success","397079"
"1555","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/190427","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","23-Jan-2026","PRADEEPA P","Payment Success","252443"
"1556","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP393/2025-2026/190429","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","11-Feb-2026","KARUPPAIAH K","Payment Success","598675"
"1557","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206235","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","12-Feb-2026","SIVANESH T","Payment Success","947982"
"1558","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206233","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","02-Mar-2026","BANUMATHI RAMANATHAN","Payment Success","244758"
"1559","Tamil Nadu","Lighting of public spaces","WS/MP393/2025-2026/222817","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","13-Mar-2026","SIVAGAMASUNDARI B","Payment Success","498419"
"1560","Tamil Nadu","Lighting of public spaces","WS/MP393/2025-2026/210037","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","26-Dec-2025","S MUNEESWARAN","Payment Success","499852"
"1561","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP393/2026-2027/220644","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","19-May-2026","Jeyarani K","Payment Success","599644"
"1562","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP393/2025-2026/167612","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","30-Sep-2025","BALAMURUGAN K","Payment Success","944686"
"1563","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP393/2025-2026/167655","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","30-Jul-2025","Balasubramani","Payment Success","699853"
"1564","Tamil Nadu","Lighting of public spaces","WS/MP393/2025-2026/167656","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","30-Jul-2025","Balasubramani","Payment Success","499517"
"1565","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206415","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","06-May-2026","Marimuthu","Payment Success","291103"
"1566","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206415","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","03-Feb-2026","Marimuthu","Payment Success","653793"
"1567","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/250039","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","22-Dec-2025","KANNAN","Payment Success","622736"
"1568","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/250039","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","27-Feb-2026","KANNAN","Payment Success","322014"
"1569","Tamil Nadu","Construction of stadiums","WS/MP393/2025-2026/206239","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","23-Jan-2026","ALAGU V","Payment Success","799537"
"1570","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206238","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","08-Dec-2025","RENGAMMAL","Payment Success","949258"
"1571","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206240","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","08-Dec-2025","Amalirani Sebasdiyan","Payment Success","944424"
"1572","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206241","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","08-Dec-2025","Amalirani Sebasdiyan","Payment Success","944552"
"1573","Tamil Nadu","Lighting of public spaces","WS/MP393/2025-2026/167611","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","28-Oct-2025","AMN ENTERPRISES","Payment Success","494969"
"1574","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP393/2024-2025/143045","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","25-Jan-2025","ADAIKKAN V","Payment Success","849864"
"1575","Tamil Nadu","Construction of public toilets and bathrooms","WS/MP393/2024-2025/143046","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","16-Oct-2024","SARAVANAN R","Payment Success","149904"
"1576","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP393/2024-2025/143044","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","16-Oct-2024","SARAVANAN R","Payment Success","199871"
"1577","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP393/2025-2026/167989","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","13-Sep-2025","SAVARIMUTHU THAINESH","Payment Success","599495"
"1578","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP393/2025-2026/167657","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","29-Aug-2025","DHARMARAJAN RAMAIAH","Payment Success","599801"
"1579","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP393/2025-2026/167658","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","10-Sep-2025","S SUBRAMANIAN","Payment Success","599654"
"1580","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP393/2025-2026/206418","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","20-Mar-2026","PARAMESWARI","Payment Success","598242"
"1581","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP393/2025-2026/206419","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","20-Mar-2026","PARAMESWARI","Payment Success","589872"
"1582","Tamil Nadu","Lighting of public spaces","WS/MP393/2025-2026/210039","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","19-Sep-2025","PARAMESWARI","Payment Success","499621"
"1583","Tamil Nadu","Lighting of public spaces","WS/MP393/2025-2026/210038","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","20-Sep-2025","PARAMESWARI","Payment Success","499621"
"1584","Tamil Nadu","Lighting of public spaces","WS/MP393/2025-2026/167526","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","08-Jul-2025","PARAMESWARI","Payment Success","499627"
"1585","Tamil Nadu","Installing tube-wells and borewells","WS/MP393/2025-2026/167697","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","08-Jul-2025","PARAMESWARI","Payment Success","548668"
"1586","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2026-2027/206417","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","21-Jul-2026","MUNIYASAMY J","Payment Success","1346004"
"1587","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP393/2026-2027/206416","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","21-May-2026","PARAMESWARI","Payment Success","599297"
"1588","Tamil Nadu","Lighting of public spaces","WS/MP393/2025-2026/167609","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","02-Aug-2025","RAMANATHAN","Payment Success","499957"
"1589","Tamil Nadu","Lighting of public spaces","WS/MP393/2025-2026/186701","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","23-Oct-2025","KRS Enterprises","Payment Success","499444"
"1590","Tamil Nadu","Lighting of public spaces","WS/MP393/2025-2026/167607","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","23-Oct-2025","KRS Enterprises","Payment Success","499444"
"1591","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206232","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","13-Nov-2025","SURENDRAN","Payment Success","699753"
"1592","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP393/2025-2026/167608","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","09-Oct-2025","SENTHILKUMAR D","Payment Success","349348"
"1593","Tamil Nadu","Installing tube-wells and borewells","WS/MP393/2025-2026/206231","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","29-Sep-2025","V Murali","Payment Success","649581"
"1594","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206229","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","06-May-2026","Manimuthu","Payment Success","949670"
"1595","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206230","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","24-Mar-2026","SURENDRAN","Payment Success","949959"
"1596","Tamil Nadu","Lighting of public spaces","WS/MP393/2026-2027/220638","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","30-Jul-2026","KRS Enterprises","Payment Success","499444"
"1597","Tamil Nadu","Lighting of public spaces","WS/MP393/2026-2027/220637","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","30-Jul-2026","KRS Enterprises","Payment Success","499444"
"1598","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP393/2026-2027/167605","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","09-Jul-2026","SUNDARARAJAN KR","Payment Success","674460"
"1599","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206176","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","17-Mar-2026","M P R ASSOCIATES","Payment Success","489890"
"1600","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP393/2025-2026/167525","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","26-Feb-2026","Keerthi Builders","Payment Success","590118"
"1601","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18181/2025-2026/211790","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","ESWARASAMY K","POLLACHI","27-Oct-2025","KRISHNAKUMAR G","Payment Success","1000000"
"1602","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18181/2025-2026/213161","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","ESWARASAMY K","POLLACHI","07-Apr-2026","KKS CONTRACTOR","Payment Success","998685"
"1603","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP747/2025-2026/214888","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","12-Jan-2026","DURAI P","Payment Success","309571"
"1604","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP747/2025-2026/214858","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","12-Jan-2026","DURAI P","Payment Success","317832"
"1605","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP747/2026-2027/214843","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","14-May-2026","S IMMANUVEL","Payment Success","999085"
"1606","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP747/2025-2026/214858","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","06-Apr-2026","DURAI P","Payment Success","481440"
"1607","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP747/2025-2026/214888","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","06-Apr-2026","DURAI P","Payment Success","488093"
"1608","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP747/2025-2026/214889","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","17-Mar-2026","S IMMANUVEL","Payment Success","999358"
"1609","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP747/2025-2026/214886","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","02-Mar-2026","R Goppammal","Payment Success","799094"
"1610","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP747/2025-2026/141756","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","12-Jan-2026","GANESAN VICTORIA","Payment Success","749124"
"1611","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP747/2025-2026/141758","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","08-Aug-2025","GANESAN VICTORIA","Payment Success","748111"
"1612","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP747/2025-2026/141757","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","08-Aug-2025","GANESAN VICTORIA","Payment Success","732809"
"1613","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP747/2025-2026/141755","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","08-Aug-2025","GANESAN VICTORIA","Payment Success","748443"
