"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1703","Normal/Others","WS/MP18394/2025-2026/213201-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","Construction of a concrete road near the Anganwadi in Chanar Palaiyam, Ward No. 29. Tiruchengode Municipality","28-Jun-2025","14-Jul-2025","1349791","Physical Inspection"
"1704","Normal/Others","WS/MP18394/2025-2026/213210-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","Construction of cement road from Anganwadi Center to Village Administrative Office in Thokuvadi Panchayat of Thiruchengode Panchayat Union","28-Jun-2025","25-Aug-2025","700000","Physical Inspection"
"1705","Normal/Others","WS/MP18394/2025-2026/213213-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","Construction of concrete road in Devanankurichi village, Tiruchengode Panchayat Union, Kenya town.","28-Jun-2025","01-Aug-2025","572000","Physical Inspection"
"1706","Normal/Others","WS/MP18394/2025-2026/213214-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","Construction of a concrete road with rainwater drainage in Mallasamuthiram Town Panchayat Ward No. 6 Dr. Ambedkar Street, Senthil area.","28-Jun-2025","14-Jul-2025","1500000","Physical Inspection"
"1707","Normal/Others","WS/MP394/2025-2026/213766-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","nalloor ooratchi sudukaadu saalai","01-Jul-2025","22-Oct-2025","499652","Physical Inspection"
"1708","Normal/Others","WS/MP18182/2025-2026/214646-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","Providing Cement concrete pavement from Oorani bund to Vadakasiamman temple street at Vellakoundanpatti Village of Ramasamyapuram Panchayat in Vasudevanallur Panchayat Union","30-Jul-2025","11-Nov-2025","999247","Physical Inspection"
"1709","Normal/Others","WS/MP18177/2025-2026/216401-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Construction of Tar Road and Paver Block at Lakkapuram Panchayat, Saanarmedu Raja Shop to V.I.P Garden (2025-26)","28-Jul-2025","24-Nov-2025","988213","Physical Inspection"
"1710","Normal/Others","WS/MP18177/2025-2026/216524-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Construction of BT road in Balusamy Nagar (200Mtr)  Ward 2 Lakkapuram Panchayat  (2025-26)","28-Jul-2025","10-Oct-2025","599944","Physical Inspection"
"1711","Normal/Others","WS/MP18177/2025-2026/216595-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Laying BT Road in Ward No,39 Karungalpalayam, Marapalam Road, 2nd Street at Erode Corporation (2025-26)","28-Jul-2025","24-Nov-2025","1100000","Physical Inspection"
"1712","Repair and Renovation","WS/MP18177/2025-2026/216600-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Strengthing the road from chennimalai panchayat union to Kuttapalayam Panchayat Karukkankattuvalasu, Vaikkalmedu Road (2025-2026)","28-Jul-2025","24-Nov-2025","1798140","Physical Inspection"
"1713","Normal/Others","WS/MP18177/2025-2026/216715-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Construction of cement concrete footpath from Kattupalayam Ramalingam house to Dandapani house in Modakkurichi Town Panchayat Ward No. 2 (2025-26)","28-Jul-2025","25-Nov-2025","330000","Physical Inspection"
"1714","Normal/Others","WS/MP740/2025-2026/219240-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","Providing CC Road at Thiruvalluvar Nagar  Ward No 12 at Gudalur Municipality","23-Aug-2025","17-Dec-2025","1500000","Work Completed"
"1715","Normal/Others","WS/MP740/2025-2026/219285-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","Providing CC Road from Nirmala House to Emalda House Ward No 17 at Gudalur Municipality","23-Aug-2025","29-Aug-2025","970000","Work Completed"
"1716","Normal/Others","WS/MP18186/2025-2026/222922-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","Construction of Cement Road at Nethaji Nagar, Periyapalayam Village, Ellapuram Block","29-Jul-2025","02-Feb-2026","1799284","Physical Inspection"
"1717","Normal/Others","WS/MP18180/2025-2026/222972-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","ARUN NEHRU","PERAMBALUR","Providing CC Road at AD Street Kannan house to Anganwadi Centre in Kurur","26-Aug-2025","25-Nov-2025","620000","Work Completed"
"1718","Normal/Others","WS/MP18180/2025-2026/222973-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","ARUN NEHRU","PERAMBALUR","Providing CC Road at Chettikulam Govt. Hsc School backside Ekambaram house to Muthuselvan house in Chettikulam Pt.","26-Aug-2025","25-Nov-2025","380000","Work Completed"
"1719","Normal/Others","WS/MP18265/2025-2026/223234-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","laying of BT road in NGO Nagar - 300 mtrs","29-Jul-2025","24-Nov-2025","1798876","Physical Inspection"
"1720","Normal/Others","WS/MP18265/2025-2026/223404-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","Laying of 250 mtrs of BT road in Azhgappa nagar - Gunduuppalavadi -","30-Jul-2025","30-Jan-2026","1199378","Physical Inspection"
"1721","Normal/Others","WS/MP746/2025-2026/225786-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Kani K Navas","RAMANATHAPURAM","Providing of Pavarblock road in Sannachi Shop to Perumal House in Kalaiyar Karisalkulam village at Kalaiyar Karisalkulam Pt (2025-2026)","07-Aug-2025","24-Dec-2025","499065","Physical Inspection"
"1722","Normal/Others","WS/MP18173/2025-2026/225955-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction of side drainage at road street in Karanai Panchayat","03-Sep-2025","02-Mar-2026","499800","Physical Inspection"
"1723","Normal/Others","WS/MP18173/2026-2027/225961-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement at Chetpet (Ward No. 8)","03-Sep-2025","19-Jun-2026","400000","Physical Inspection"
"1724","Normal/Others","WS/MP18173/2025-2026/225962-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement at Pathiyavaram Anthoniyar Street at Othalavady Panchayat","03-Sep-2025","17-Feb-2026","499700","Physical Inspection"
"1725","Normal/Others","WS/MP18185/2026-2027/228424-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Construction of Concrete Paver block road in 18th Street L.400 m,  Width.3.7m in Ward No.1 in Suthamalli Panchayat in  Manur Panchayat Union.","22-Aug-2025","19-May-2026","1499484","Physical Inspection"
"1726","Normal/Others","WS/MP18185/2026-2027/228425-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Construction of Concrete Paver Block Road in Thalaiyuthu Amman Kovil Street to Sudalai Kovil Street in Manur panchayat Union.","22-Aug-2025","19-May-2026","1226411","Physical Inspection"
"1727","Normal/Others","WS/MP18185/2025-2026/228433-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Providing  of Concrete Paver block road in Anthoniyarpuram Nadu Street L.370 m in Kumarapuram Panchayat in Radhapuram Panchayat Union.","22-Aug-2025","31-Oct-2025","2685106","Physical Inspection"
"1728","Normal/Others","WS/MP18182/2025-2026/231057-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","Providing Cement Concrete Pavement at South Street of Samynathapuram Colony in Keelaneelithanallur Village and Panchayat in Melaneelithanallur Panchayat Union","03-Sep-2025","02-Jan-2026","498247","Physical Inspection"
"1729","Normal/Others","WS/MP18180/2025-2026/231224-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","ARUN NEHRU","PERAMBALUR","Providing CC Road at Ayyanarpalayam Kai.Kalathur - Pillangulam road to Ayyanar Kovil road in Pillangulam Pt. in Veppanthattai Union","11-Sep-2025","06-Jan-2026","300000","Work Completed"
"1730","Normal/Others","WS/MP18180/2025-2026/231226-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","ARUN NEHRU","PERAMBALUR","Providing CC Road at Annamangalam Palpannai Street in Annamangalam Pt. in Veppanthattai Union","11-Sep-2025","20-Jan-2026","300000","Work Completed"
"1731","Normal/Others","WS/MP18180/2025-2026/232778-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","ARUN NEHRU","PERAMBALUR","Providing CC Road at Thenur BC Street Mustafa House to Wakf House at Thenur Pt.","11-Sep-2025","06-Jan-2026","500000","Work Completed"
"1732","Normal/Others","WS/MP394/2025-2026/231397-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","Maruthancode - therivilai roads","04-Sep-2025","15-Dec-2025","965991","Physical Inspection"
"1733","Normal/Others","WS/MP870/2025-2026/232529-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","VELLORE(DISTRICT COLLECTOR VELLORE_IDA)","D M Kathir Anand","VELLORE","Construction of CC Road at Vanjur Colony in Vanjur Village Katpadi Union.","10-Sep-2025","27-Nov-2025","950000","Sanction"
"1734","Normal/Others","WS/MP18173/2025-2026/232758-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete pavement at Jain Temple road at Nallur Panchayat","14-Oct-2025","24-Nov-2025","199936","Physical Inspection"
"1735","Normal/Others","WS/MP18173/2026-2027/241935-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete pavement at Vandavasi Ward No 5","14-Oct-2025","20-Jul-2026","300000","Work partially Completed"
"1736","Normal/Others","WS/MP746/2026-2027/232914-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Kani K Navas","RAMANATHAPURAM","Providing Paverblock in Aringar Anna Govt Hospital inside at Aranthangi Municipality. (2025-2026)","11-Sep-2025","13-May-2026","800000","Sanction"
"1737","Normal/Others","WS/MP746/2026-2027/232916-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Kani K Navas","RAMANATHAPURAM","CC road in Pandiyan Nagar 4th Street at Ward No.12 at Kariyapatti Town Pt (2025-2026)","11-Sep-2025","29-Jul-2026","1000000","Vendor Identification"
"1738","Normal/Others","WS/MP017/2026-2027/235389-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","S. Jagathrakshakan","ARAKKONAM","Construction of Cement road in Melandai Cross Street","19-Sep-2025","15-May-2026","400000","Physical Inspection"
"1739","Normal/Others","WS/MP017/2026-2027/238007-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","S. Jagathrakshakan","ARAKKONAM","Construction of Cement Road in nagari Kuppam","26-Sep-2025","17-Jun-2026","1300000","Physical Inspection"
"1740","Normal/Others","WS/MP017/2025-2026/238010-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","S. Jagathrakshakan","ARAKKONAM","Construction of cement Road in Nagavedu","26-Sep-2025","13-Mar-2026","499699","Physical Inspection"
"1741","Normal/Others","WS/MP18186/2026-2027/240295-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","Construction of 280 mtr cement road on Anjaneyar Kovil Street, Morai Veerapuram Village, Villivakkam Block","23-Oct-2025","21-May-2026","2000000","Physical Inspection"
"1742","Normal/Others","WS/MP18265/2025-2026/240807-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","Laying of 100 mtrs Cement Road at Pudu colony (2000 - Valagam) -","08-Oct-2025","13-Feb-2026","499323","Physical Inspection"
"1743","Normal/Others","WS/MP18265/2025-2026/240809-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","Laying of 100 mtrs of cement Road in Alapakkam Near Sivan Kovil","08-Oct-2025","30-Jan-2026","500000","Physical Inspection"
"1744","Normal/Others","WS/MP745/2025-2026/241598-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K Subbarayan","TIRUPPUR","erode district,anthiyurr, ammapettai union, conkreet road","11-Oct-2025","30-Jan-2026","789935","Physical Inspection"
"1745","Normal/Others","WS/MP18265/2025-2026/241766-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","Laying of 130 mtrs CC road in Siruvathur village","13-Oct-2025","24-Nov-2025","999741","Physical Inspection"
