"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"2191","Normal/Others","WS/MP18181/2025-2026/179577-Construction of buildings for crèches and anganwadies","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of Anganwadi Building at ward no.7 Kalishiwari mill street in Vetteikaranpudhur Town Panchayat","ESWARASAMY K","POLLACHI","N/A","30-Sep-2025","1500000"
"2192","Normal/Others","WS/MP18181/2025-2026/185233-Construction of bus-sheds or bus-stops","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Construction of passenger Shelder in Sambalmedu Ward no.14 at Dhali Town panchayat","ESWARASAMY K","POLLACHI","Images","28-Oct-2025","500000"
"2193","Normal/Others","WS/MP18181/2025-2026/185234-Construction of bus-sheds or bus-stops","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Construction of passenger Shelder in Thirumoorthimalai road Ward no.15 at Dhali Town panchayat","ESWARASAMY K","POLLACHI","Images","28-Oct-2025","500000"
"2194","Normal/Others","WS/MP18181/2025-2026/185235-Construction of buildings for crèches and anganwadies","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Construction of Anganwadi Building in Ward no.12  Ruthrapalayam at Sankaramanallur Town Panchayat","ESWARASAMY K","POLLACHI","Images","18-Dec-2025","1400000"
"2195","Normal/Others","WS/MP18181/2025-2026/185236-Construction of buildings for community cultural activities","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Construction of Auditorium in ward no 18 SK puthur near Mariyamman Temple at Madathukulam Town panchayat","ESWARASAMY K","POLLACHI","Images","28-Nov-2025","1500000"
"2196","Normal/Others","WS/MP18181/2025-2026/203791-Construction of water tanks","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of 60000 litre Sump in Kanthasamy Street at Ward No.3 Othakalmandapam TP","ESWARASAMY K","POLLACHI","Images","11-Feb-2026","1700000"
"2197","Normal/Others","WS/MP18181/2025-2026/203795-Construction of water tanks","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of 60000 OHT in Vadivelampalayam Milk Socitey at Ward No.12 Pooluvampatti TP","ESWARASAMY K","POLLACHI","Images","31-Jan-2026","2000000"
"2198","Normal/Others","WS/MP18181/2025-2026/210286-Construction of bus-sheds or bus-stops","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of passenger Shelter at Kallapuaram H.oKuthiraiyalampalayam Panchayat","ESWARASAMY K","POLLACHI","N/A","23-Jul-2025","498927"
"2199","Normal/Others","WS/MP18181/2025-2026/210287-Construction of bus-sheds or bus-stops","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of passenger Shelter at Muthugoundanur H.o Sokkanur Panchayat","ESWARASAMY K","POLLACHI","N/A","23-Jul-2025","499691"
"2200","Normal/Others","WS/MP18181/2025-2026/210288-Construction of bus-sheds or bus-stops","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of passenger Shelter at No.10 Muthur H.o No.10 Muthur Panchayat","ESWARASAMY K","POLLACHI","N/A","04-Jul-2025","498821"
"2201","Normal/Others","WS/MP18181/2025-2026/211784-Lighting of public spaces","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Providing a Highmast light Mariyamman Kovil Thital in Devanurputhur Panchayat","ESWARASAMY K","POLLACHI","Images","28-Aug-2025","700000"
"2202","Normal/Others","WS/MP18181/2025-2026/211785-Construction of community centers and community halls","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Construction of New Public Distribution Shop at Chinnapappanuth H.o Periya pappanuthu","ESWARASAMY K","POLLACHI","Images","18-Mar-2026","999912"
"2203","Normal/Others","WS/MP18181/2025-2026/211786-Construction of bus-sheds or bus-stops","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Construction Passenger Shelter at S.V.puram H.o Kanakkampalayam panchayat","ESWARASAMY K","POLLACHI","Images","20-Nov-2025","999573"
"2204","Normal/Others","WS/MP18181/2025-2026/211787-Construction of bus-sheds or bus-stops","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Construction of passenger Shelter at sinthiluppu village H.o Anikadavu panchayat","ESWARASAMY K","POLLACHI","Images","16-Oct-2025","599805"
"2205","Normal/Others","WS/MP18181/2025-2026/211788-Construction of bus-sheds or bus-stops","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Construction of passenger Shelter at Kongalnagaram H.o Kongalnagaram Panchayat","ESWARASAMY K","POLLACHI","Images","13-Oct-2025","997723"
"2206","Normal/Others","WS/MP18181/2025-2026/211789-Construction of bus-sheds or bus-stops","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Constrution of Passenger Shelter at Moongiltholuvu H.o Moongiltholuvu panchayat","ESWARASAMY K","POLLACHI","Images","16-Oct-2025","599770"
"2207","Normal/Others","WS/MP18181/2025-2026/211790-Construction of bus-sheds or bus-stops","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Construction of Passenger Shelter at Chettiyar mill at Myvadi Panchayat","ESWARASAMY K","POLLACHI","Images","27-Oct-2025","1000000"
"2208","Normal/Others","WS/MP18181/2025-2026/213161-Construction of bus-sheds or bus-stops","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Construction of Passenger Shelter near Puthur madam Kovil at Ariyanachipalayam Village H.o Jothampatti Panchayat","ESWARASAMY K","POLLACHI","Images","07-Apr-2026","998685"
"2209","Normal/Others","WS/MP18181/2025-2026/213168-Lighting of public spaces","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Providing a Highmast light at Periyakulam Pirivu Junction H.o Bodipatti Panchayat","ESWARASAMY K","POLLACHI","Images","03-Dec-2025","700000"
"2210","Normal/Others","WS/MP18181/2025-2026/213169-Lighting of public spaces","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Providing a Highmast Light near Apartment atPukulam Panchayat","ESWARASAMY K","POLLACHI","Images","10-Feb-2026","700000"
"2211","Normal/Others","WS/MP18181/2025-2026/213170-Lighting of public spaces","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Providing a Highmast Light near Indhira nagar Juction shanmugaPiriya mill H.o Periyakottai","ESWARASAMY K","POLLACHI","Images","03-Dec-2025","700000"
"2212","Normal/Others","WS/MP18181/2025-2026/213171-Construction of bus-sheds or bus-stops","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Construction of passenger shelter near Indhira nagar Juction shanmugaPiriya mill H.o Periyakottai","ESWARASAMY K","POLLACHI","Images","24-Feb-2026","996349"
"2213","Normal/Others","WS/MP18181/2025-2026/213174-Lighting of public spaces","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Providing a Highmast Light near Municipality Vasavi nagar Park at Udumalpet Municipalaity","ESWARASAMY K","POLLACHI","Images","27-Mar-2026","700000"
"2214","Normal/Others","WS/MP18181/2025-2026/222360-Construction of water tanks","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of 30000 litre OHT near Vigin paper mill at Ayyampalayam H.o Ayyampalayam Village","ESWARASAMY K","POLLACHI","N/A","30-Jan-2026","879671"
"2215","Normal/Others","WS/MP18181/2025-2026/222361-Construction of community centers and community halls","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of Multi purpose building at Najegoundenpudhur H.o Santhegoundenpalayam Village Panchayat","ESWARASAMY K","POLLACHI","N/A","28-Jan-2026","869618"
"2216","Normal/Others","WS/MP18181/2025-2026/222363-Construction of buildings for crèches and anganwadies","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of ICDS centre at Vennila Hospital road (centre no.415) in ward no.78 South zone of Coimbatore corporation","ESWARASAMY K","POLLACHI","Images","12-Jan-2026","1500000"
"2217","Normal/Others","WS/MP18181/2025-2026/222364-Construction of boundary walls of existing public and community buildings","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","construction of Pulic Distribution shop at Ward no.12 Thiruvalluvar nagar in Vellalore Town panchayat","ESWARASAMY K","POLLACHI","N/A","06-Jan-2026","1600000"
"2218","Normal/Others","WS/MP18181/2025-2026/222976-Lighting of public spaces","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Supply and Installation of solar lights at Jakkarpalayak Kadaiveethi Maithanam H.o Sirukalanthai Panchayar","ESWARASAMY K","POLLACHI","N/A","08-Aug-2025","474762"
"2219","Normal/Others","WS/MP18181/2025-2026/222977-Lighting of public spaces","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","upply and Installation of solar lights at Opp of Amman Malihai kadai devanampalayam H.o Devanampalayam  Panchayar","ESWARASAMY K","POLLACHI","N/A","08-Aug-2025","474762"
"2220","Normal/Others","WS/MP18181/2025-2026/229133-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of BT Road at Karikalan Cholan Street 1,2 in Ward No.5 of Suleeswaranpatti Town Panchayat","ESWARASAMY K","POLLACHI","Images","29-Aug-2025","1200000"
"2221","Normal/Others","WS/MP18181/2025-2026/234979-Lighting of public spaces","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Providing a Highmast light at Myvadi Juction H.o Kannamanaickanur panchahayt","ESWARASAMY K","POLLACHI","Images","26-Sep-2025","700000"
"2222","Normal/Others","WS/MP18181/2025-2026/235265-Lighting of public spaces","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Providing a Highmast light in near Mariamman Kovil at Periapatti village H.o Periapatti Panchayat","ESWARASAMY K","POLLACHI","Images","17-Oct-2025","700000"
"2223","Normal/Others","WS/MP18181/2025-2026/249861-Installing community drinking water plants","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Supply and Erection of 2000Litre capacity Reverse Osmosis Water-Cum Purifier at Masaniyamman kovil bus stop near in Anaimalai Town panchayat","ESWARASAMY K","POLLACHI","N/A","24-Nov-2025","700000"
"2224","Normal/Others","WS/MP18181/2025-2026/257767-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Providing a CC road with Drain in via kadathur Sub Register office road near School at Kaniyur Town panchayat","ESWARASAMY K","POLLACHI","Images","09-Jan-2026","775000"
"2225","Normal/Others","WS/MP18181/2025-2026/266346-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of Extension of office building at Subbammal Street in Pollachi Municipality","ESWARASAMY K","POLLACHI","N/A","16-Feb-2026","2581399"
"2226","Normal/Others","WS/MP18181/2026-2027/301680-Construction of water tanks","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of Intake Well at Reddiyarur H/o. S.Nallur Panchayat","ESWARASAMY K","POLLACHI","Images","02-Sep-2026","1529427"
"2227","Normal/Others","WS/MP18182/2024-2025/134222-Construction of boundary walls of existing public and community buildings","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Construction of Flood protective wall in Periya Panayankulam weir in Nainaragaram Village of Kadayanallur Union.","DR RANI SRI KUMAR","TENKASI(SC)","Images","30-Sep-2024","2486079"
"2228","Normal/Others","WS/MP18182/2024-2025/134223-Construction of boundary walls of existing public and community buildings","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Construction of surplus weir Apron of Periya Panayankulam  in Nainaragaram Village of Kadayanallur Union.","DR RANI SRI KUMAR","TENKASI(SC)","Images","10-Oct-2024","2493302"
"2229","Normal/Others","WS/MP18182/2024-2025/134224-Construction of boundary walls of existing public and community buildings","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Construction of protective wall and skin wall  in Left side weir of Pattakulam in Sernthamangalam village of Melaneelithanallur Union.","DR RANI SRI KUMAR","TENKASI(SC)","Images","30-Sep-2024","2481067"
"2230","Normal/Others","WS/MP18182/2024-2025/134225-Construction of boundary walls of existing public and community buildings","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Construction of protective wall in Right side weir of Pattakulam in Sernthamangalam Village of Melaneelithanallur Union.","DR RANI SRI KUMAR","TENKASI(SC)","Images","10-Oct-2024","2482079"
"2231","Normal/Others","WS/MP18182/2025-2026/142750-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing cement congrete Road and construction of storm water drain at Ward No.6 in Malayan Street (Satya Nagar) in Tenkasi Municipality.","DR RANI SRI KUMAR","TENKASI(SC)","Images","15-Apr-2025","1900000"
"2232","Normal/Others","WS/MP18182/2025-2026/142751-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Conversion of Earthern to Black top Road at Mangammal Salai in Tenkasi Municipality","DR RANI SRI KUMAR","TENKASI(SC)","Images","15-Apr-2025","3100000"
"2233","Normal/Others","WS/MP18182/2025-2026/152307-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing Block Topping Road and construction of Retaining wall at Taluk Office Road from Avudaiyalpuram main road to New Taluk Office in Thiruvengadam Town Panchayat","DR RANI SRI KUMAR","TENKASI(SC)","Images","13-May-2025","2000000"
"2234","Normal/Others","WS/MP18182/2025-2026/161254-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Supply & Installation of 16 mtr LED Highmast Light with 12 Nos of LED Fitting near Railway Station in Sankarankovil Municipality.","DR RANI SRI KUMAR","TENKASI(SC)","Images","29-Aug-2025","849506"
"2235","Normal/Others","WS/MP18182/2025-2026/161255-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No of 12 Mtr LED High mast Light at Marriage Hall front Side of Ward No.10 in Surandai Municipality","DR RANI SRI KUMAR","TENKASI(SC)","Images","28-Jun-2025","421555"
"2236","Normal/Others","WS/MP18182/2025-2026/161256-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No of 12 Mtr LED High mast Light at Aladipatti Junction in Surandai Municipality","DR RANI SRI KUMAR","TENKASI(SC)","Images","28-Jun-2025","417005"
"2237","Normal/Others","WS/MP18182/2025-2026/161257-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No of 12 Mtr LED High mast Light at Vadakuthi Amman Kovil Front Side at Ward No. 26 in Surandai Municipality","DR RANI SRI KUMAR","TENKASI(SC)","Images","28-Jun-2025","421555"
"2238","Normal/Others","WS/MP18182/2025-2026/161258-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No of 12 Mtr LED High mast Light at Kurungavanam Puthu Veetu Amman Kovil Front Side at Ward No. 23 in Surandai Municipality","DR RANI SRI KUMAR","TENKASI(SC)","Images","28-Jun-2025","421555"
"2239","Normal/Others","WS/MP18182/2025-2026/161259-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Supply & Installation of 12mtr Mini High mast LED Light at Near Ward No.5 Krishnapuram Karuppasamy Kovil in Kadayanallur Municipality.","DR RANI SRI KUMAR","TENKASI(SC)","Images","26-Jun-2025","418432"
"2240","Normal/Others","WS/MP18182/2025-2026/161260-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Supply & Installation of 12mtr Mini High mast LED Light at Near Ward No.20 Mathina Nagar Pallivasal in Kadayanallur Municipality.","DR RANI SRI KUMAR","TENKASI(SC)","Images","26-Jun-2025","418432"
"2241","Normal/Others","WS/MP18182/2025-2026/161261-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Supply & Installation of 12mtr Mini High mast LED Light at Near Ward No.01 Kumanthapuram Bus Stop in Kadayanallur Municipality.","DR RANI SRI KUMAR","TENKASI(SC)","Images","26-Jun-2025","418432"
"2242","Normal/Others","WS/MP18182/2025-2026/161263-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Supply & Installation of 16 mtrs High Mast LED Light at KTC Bus Depot Front Side in Puliyangudi Municipality.","DR RANI SRI KUMAR","TENKASI(SC)","N/A","27-Jun-2025","897634"
"2243","Normal/Others","WS/MP18182/2025-2026/161264-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Supply & Installation of 12 mtrs High Mast LED Light at Kannupulimettu Pillayar Kovil Street  in Pudur (S) Town Panchayat.","DR RANI SRI KUMAR","TENKASI(SC)","Images","11-Feb-2026","418432"
"2244","Normal/Others","WS/MP18182/2025-2026/161265-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No.of 12 mtrs High Mast LED Light at Poolankudiyiruppu Pallivasal in Pudur (S) Town Panchayat.","DR RANI SRI KUMAR","TENKASI(SC)","Images","11-Feb-2026","418432"
"2245","Normal/Others","WS/MP18182/2025-2026/161266-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No.of 12 mtrs High Mast LED Light at Poolankudiyiruppu Kathiravan Colony Corner in Pudur (S) Town Panchayat","DR RANI SRI KUMAR","TENKASI(SC)","Images","11-Feb-2026","418432"
"2246","Normal/Others","WS/MP18182/2025-2026/161267-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No.of 12 mtrs High Mast LED Light at Keelapudhur in Pudur (S) Town Panchayat","DR RANI SRI KUMAR","TENKASI(SC)","Images","11-Feb-2026","418432"
"2247","Normal/Others","WS/MP18182/2025-2026/161268-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No.of 12 mtrs High Mast LED Light at Mottai  in Pudur (S) Town Panchayat","DR RANI SRI KUMAR","TENKASI(SC)","Images","11-Feb-2026","418432"
"2248","Normal/Others","WS/MP18182/2025-2026/161278-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No of 12 mtrs LED High Mast light at infront of Old Town Panchayat Office in Sundarapandiyapuram Town Panchayat","DR RANI SRI KUMAR","TENKASI(SC)","Images","23-Jun-2025","413882"
"2249","Normal/Others","WS/MP18182/2025-2026/161279-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No of 12 Mtrs LED High Mast light at Govt PH Road Junction in Sundarapandiapuram Town Panchayat","DR RANI SRI KUMAR","TENKASI(SC)","Images","23-Jun-2025","413882"
"2250","Normal/Others","WS/MP18182/2025-2026/161280-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No of 12 Mtrs LED High Mast Light at Ward NO.1 in Melagaram Town Panchayat","DR RANI SRI KUMAR","TENKASI(SC)","Images","24-Jun-2025","413882"
"2251","Normal/Others","WS/MP18182/2025-2026/161281-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No of 12 Mtrs LED High Mast Light at Ward No.9 in Melagaram Town Panchayat","DR RANI SRI KUMAR","TENKASI(SC)","Images","24-Jun-2025","413882"
"2252","Normal/Others","WS/MP18182/2025-2026/161282-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing 1 No of 12 Mtrs LED High Mast Light near Avudaiyapuram Pillayar Kovil in Thiruvengadam Town Panchayat","DR RANI SRI KUMAR","TENKASI(SC)","Images","07-Jul-2025","414704"
